timestamp_us,x,y,z,qx,qy,qz,qw,vx,vy,vz,ax,ay,az,curvature,yaw,beta,r,speed_mps
9400001,167.2257080078125,14.108689308166504,0.0,0.0,0.0,0.3464210629463196,0.9380791187286377,16.41939926147461,7.375859260559082,0.0,-0.8039474487304688,1.7896771430969238,0.0,0.010552076622843742,0.7075064778327942,-0.28530463576316833,0.18993738293647766,18.0
9500000,168.86764526367188,14.846275329589844,0.0,0.0,0.0,0.35531413555145264,0.9347469806671143,16.338029861450195,7.554388523101807,0.0,-0.8234119415283203,1.7808055877685547,0.0,0.010552076622843742,0.7265002131462097,-0.293398380279541,0.18993738293647766,18.0
9600000,170.50144958496094,15.601714134216309,0.0,0.0,0.0,0.36417514085769653,0.9313305020332336,16.254716873168945,7.732020378112793,0.0,-0.8427715301513672,1.7717289924621582,0.0,0.010552076622843742,0.7454939484596252,-0.3014921247959137,0.18993738293647766,18.0
9700000,172.12692260742188,16.374916076660156,0.0,0.0,0.0,0.3730033040046692,0.9278300404548645,16.169475555419922,7.908734321594238,0.0,-0.8620357513427734,1.7624378204345703,0.0,0.010552076622843742,0.7644876837730408,-0.3095858693122864,0.18993738293647766,18.0
9800000,173.74386596679688,17.165788650512695,0.0,0.0,0.0,0.3817978501319885,0.9242458343505859,16.08230972290039,8.084507942199707,0.0,-0.881195068359375,1.752934455871582,0.0,0.010552076622843742,0.7834814190864563,-0.31767961382865906,0.18993738293647766,18.0
9900001,175.3520965576172,17.974239349365234,0.0,0.0,0.0,0.3905579149723053,0.9205783605575562,15.993236541748047,8.259321212768555,0.0,-0.9002399444580078,1.7432260513305664,0.0,0.010552076622843742,0.8024751543998718,-0.32577335834503174,0.18993738293647766,18.0
10000000,176.951416015625,18.8001708984375,0.0,0.0,0.0,0.3992827832698822,0.9168277978897095,15.902261734008789,8.43315315246582,0.0,-0.919194221496582,1.7333126068115234,0.0,0.010552076622843742,0.8214688897132874,-0.3338671028614044,0.18993738293647766,18.0
10100000,178.54164123535156,19.64348602294922,0.0,0.0,0.0,0.40797165036201477,0.9129945635795593,15.80939769744873,8.60598373413086,0.0,-0.9380340576171875,1.723189353942871,0.0,0.010552076622843742,0.8404626250267029,-0.3419608473777771,0.18993738293647766,18.0
10200000,180.12257385253906,20.50408363342285,0.0,0.0,0.0,0.41662371158599854,0.9090790152549744,15.714654922485352,8.777791023254395,0.0,-0.9567594528198242,1.7128610610961914,0.0,0.010552076622843742,0.8594563603401184,-0.3500545918941498,0.18993738293647766,18.0
10300000,181.6940460205078,21.38186264038086,0.0,0.0,0.0,0.4252381920814514,0.9050814509391785,15.618045806884766,8.948555946350098,0.0,-0.9753704071044922,1.7023277282714844,0.0,0.010552076622843742,0.8784500956535339,-0.35814833641052246,0.18993738293647766,18.0
10400001,183.25584411621094,22.276718139648438,0.0,0.0,0.0,0.43381431698799133,0.9010022878646851,15.519580841064453,9.118256568908691,0.0,-0.9938716888427734,1.691603660583496,0.0,0.010552076622843742,0.8974438309669495,-0.36624208092689514,0.18993738293647766,18.0
10500000,184.80780029296875,23.18854331970215,0.0,0.0,0.0,0.4423513412475586,0.896841824054718,15.419271469116211,9.286876678466797,0.0,-1.012253761291504,1.6806697845458984,0.0,0.010552076622843742,0.916437566280365,-0.3743358254432678,0.18993738293647766,18.0
10600000,186.3497314453125,24.117231369018555,0.0,0.0,0.0,0.45084846019744873,0.8926005363464355,15.317130088806152,9.454390525817871,0.0,-1.0305070877075195,1.6695261001586914,0.0,0.010552076622843742,0.9354313015937805,-0.3824295699596405,0.18993738293647766,18.0
10700000,187.88143920898438,25.06266975402832,0.0,0.0,0.0,0.45930489897727966,0.8882786631584167,15.213170051574707,9.620781898498535,0.0,-1.0486364364624023,1.6581964492797852,0.0,0.010552076622843742,0.954425036907196,-0.3905233144760132,0.18993738293647766,18.0
